"query","search interest","increase percent"
"wisata kuliner",100,"40%"
"kuliner terdekat",86,"20%"
"kuliner malam",76,"20%"
"bandung kuliner",72,"20%"
"kuliner bandung",71,"30%"
"kuliner jogja",59,"50%"
"kuliner adalah",52,"-10%"
"kuliner solo",50,"40%"
"kuliner surabaya",47,"10%"
"kuliner jakarta",46,"-10%"
"kuliner semarang",44,"30%"
"kuliner malang",40,"30%"
"kuliner bogor",40,"30%"
"usaha kuliner",35,"-10%"
"blok m kuliner",27,"50%"
"kuliner di bandung",25,"30%"
"kuliner blok m",25,"40%"
"blok m",25,"40%"
"kuliner batu",23,"110%"
"kuliner bali",22,"5%"
"kuliner medan",19,"20%"
"kampung kuliner",17,"3%"
"kuliner di malang",17,"70%"
"kuliner yogyakarta",16,"10%"
"kuliner di jogja",16,"20%"
"kuliner bekasi",16,"40%"
"kuliner di solo",15,"20%"
"kuliner di bogor",15,"40%"
"kuliner padang",14,"50%"
"kuliner cirebon",13,"9%"
"kuliner magelang",13,"-10%"
"kuliner di semarang",12,"20%"
"kuliner tebet",12,"10%"
"wisata dusun kuliner",10,"200%"
"kuliner klaten",10,"100%"
"kuliner salatiga",10,"20%"
"kuliner gading serpong",10,"70%"
"kuliner kediri",10,"20%"
"kuliner lampung",9,"-3%"
"kuliner tegal",9,"20%"
"kuliner makassar",9,"-4%"
"kuliner sidoarjo",8,"-20%"
"kuliner madiun",8,"110%"
"kuliner bsd",8,"20%"
"kuliner terdekat dari lokasi saya",8,"120%"
"tempat kuliner terdekat",8,"50%"
"kuliner di blok m",8,"30%"
"kuliner batu malang",7,"190%"
"kuliner jakarta pusat",7,"-6%"
"kuliner mojokerto",7,"120%"
