"query","search interest","increase percent"
"fashion show",100,"130%"
"brand fashion",33,"-20%"
"fashion show anak",20,"250%"
"fashion show kartini",19,"550%"
"fashion adalah",18,"10%"
"scoopy",16,"20%"
"scoopy fashion",16,"10%"
"style fashion",16,"-10%"
"fashion style",15,"-20%"
"fashion design",14,"-8%"
"lomba fashion show",14,"250%"
"fashion designer",12,"-1%"
"fast fashion",11,"-4%"
"fashion wanita",11,"-8%"
"fashion week",10,"-40%"
"fashion artinya",10,"50%"
"apa itu fashion",10,"2%"
"fashion show hari kartini",9,"450%"
"game fashion",9,"-10%"
"max fashion",8,"-40%"
"logo fashion",7,"30%"
"trend fashion",7,"-30%"
"sepatu fashion",7,"-20%"
"fashion hotel",7,"-20%"
"penilaian fashion show",6,"450%"
"arti fashion",6,"-6%"
"fashion center",6,"10%"
"cortis fashion",6,"-40%"
"cortis",6,"-30%"
"map fashion",6,"-20%"
"fashion cortis",6,"-40%"
"lagu fashion show",5,"600%"
"fashion lyrics",5,"-30%"
"stylish fashion",5,"30%"
"sustainable fashion",5,"-20%"
"fashion show kartini anak",5,"450%"
"old fashion",5,"-10%"
"stylish",4,"20%"
"scoopy 2026",4,"30%"
"fashion nova",4,"-10%"
"product",3,"-40%"
"brand fashion lokal",3,"20%"
"fashion show batik",3,"250%"
"fashion story",3,"-7%"
"mode fashion outlet",3,"-20%"
"musik fashion show",3,"350%"
"fashion icon",3,"-5%"
"jm fashion",3,"-40%"
"scoopy prestige",2,"-20%"
"lagu fashion show kartini",2,"Breakout"
