"query","search interest","increase percent"
"wisata kuliner",100,"3%"
"kuliner indonesia",85,"50%"
"kuliner terdekat",80,"-9%"
"kuliner bandung",70,"1%"
"kuliner malam",68,"-10%"
"kuliner adalah",64,"50%"
"kuliner jogja",53,"-10%"
"kuliner jakarta",53,"0%"
"usaha kuliner",50,"60%"
"kuliner surabaya",43,"-10%"
"kuliner sekitar",41,"2%"
"kuliner bogor",41,"-4%"
"kuliner solo",41,"-20%"
"kuliner semarang",39,"-20%"
"kuliner malang",37,"-10%"
"kuliner tradisional",33,"80%"
"bisnis kuliner",32,"80%"
"kuliner nusantara",27,"50%"
"kuliner di bandung",27,"2%"
"kuliner bali",26,"10%"
"jurusan kuliner",22,"30%"
"apa itu kuliner",22,"40%"
"blok m kuliner",20,"-30%"
"kuliner batu",19,"-20%"
"kuliner blok m",19,"-30%"
"blok m",19,"-30%"
"kuliner di jogja",17,"7%"
"kuliner medan",16,"20%"
"kuliner yogyakarta",15,"-5%"
"kuliner bekasi",14,"-10%"
"kuliner tangerang",14,"10%"
"kuliner di bogor",14,"3%"
"kuliner di malang",14,"6%"
"kuliner di solo",14,"-4%"
"kuliner bsd",10,"50%"
"wisata dusun kuliner",10,"-5%"
"arti kuliner",10,"6%"
"kuliner cirebon",10,"-40%"
"kuliner makassar",10,"30%"
"kuliner artinya",9,"-8%"
"kuliner sukabumi",9,"80%"
"kuliner magelang",9,"-30%"
"kuliner depok",8,"20%"
"kuliner palembang",8,"-9%"
"kuliner kediri",8,"-40%"
"kuliner purwokerto",8,"20%"
"kuliner salatiga",8,"-10%"
"kuliner garut",7,"-7%"
"kuliner tebet",7,"-20%"
"kuliner bandung viral",7,"70%"
