"query","search interest","increase percent"
"tutorial cara",100,"20%"
"video tutorial",25,"-10%"
"tutorial online",19,"10%"
"tutorial gambar",15,"40%"
"tutorial hijab",9,"-40%"
"tutorial coretax",9,"-40%"
"tutorial adalah",9,"60%"
"python tutorial",8,"-70%"
"python",8,"-70%"
"info tutorial",8,"1%"
"tutorial ut",7,"60%"
"excel tutorial",6,"30%"
"tutorial menggambar",6,"30%"
"info tech tutorial",6,"20%"
"github",5,"-30%"
"info tech",5,"20%"
"infotech tutorial",5,"-10%"
"python programming tutorial",5,"-80%"
"infotech",5,"-20%"
"tutorial make up",4,"40%"
"tutorial hijab segi empat",4,"-50%"
"tutorial artinya",3,"30%"
"tutorial scratch",3,"200%"
"tutorial sholat",3,"-60%"
"tutorial online ut",3,"180%"
"tutorial origami",3,"80%"
"info tech tv",2,"70%"
"tutorial mandi wajib",2,"-20%"
"origami tutorial",2,"20%"
"trik tutorial",2,"-20%"
"info tech tutorial tv",2,"50%"
"tutorial tidur",2,"-3%"
"infotech tutorial tv",2,"-30%"
"tutorial hijab pashmina",2,"-60%"
"tutorial videos",2,"20%"
"info tech tutorial smart tv",2,"70%"
"tutorial lapor spt tahunan",2,"-40%"
"react tutorial",1,"-80%"
"tutorial lapor pajak coretax",1,"-50%"
"berikan pendapat anda, komponen apa saja dari tutorial online/elearning ini yang menunjukkan adanya ciri teori behaviorisme? jelaskan minimal 3 komponen",1,"Breakout"
"trik tutorial 2026",1,"-30%"
"javascript tutorial",1,"-40%"
"infotech tutorials",1,"10%"
"tutorial make up natural",1,"450%"
"elearning yang sedang anda hadapi ini, merupakan salah satu contoh penerapan teori behavioristik dalam pembelajaran. berikan pendapat anda, komponen apa saja dari tutorial online/elearning ini yang menunjukkan adanya ciri teori behaviorisme? jelaskan minimal 3 komponen",1,"350%"
"sipres tutorial",1,"90%"
"tutorial upi",1,"Breakout"
"infotech tutoriais",1,"-30%"
"tutorial lapor spt tahunan di coretax",1,"-40%"
"tutorial ut ac id",1,"-5%"
