"query","search interest","increase percent"
"the beauty",100,"50%"
"beauty and beat",93,"700%"
"beauty and a beat",55,"750%"
"beauty and the beat",41,"650%"
"justin bieber",37,"600%"
"beauty and beat lirik",32,"800%"
"lirik beauty and beat",32,"800%"
"beauty and the beast",26,"80%"
"beauty salon",24,"-30%"
"justin bieber beauty and a beat",24,"750%"
"lirik beauty and a beat",17,"950%"
"beauty and a beat lirik",17,"1.050%"
"beauty and the beat lirik",16,"600%"
"lirik beauty and the beat",15,"650%"
"lagu beauty and a beat",15,"700%"
"true beauty",14,"-30%"
"lagu justin bieber",11,"850%"
"beauty and beat lyrics",11,"500%"
"lirik lagu beauty and beat",10,"750%"
"beauty plus",9,"8%"
"chord beauty and beat",8,"1.350%"
"beauty and beat chord",8,"1.800%"
"beauty and the beast justin bieber",8,"400%"
"lirik lagu beauty and a beat",8,"900%"
"prisoner of beauty",7,"-20%"
"beauty and the beast lirik",7,"300%"
"lirik beauty and the beast",7,"300%"
"beauty and a beat lyrics",7,"450%"
"lirik justin bieber beauty and a beat",6,"900%"
"ixi hair beauty",6,"-5%"
"beauty haul",5,"-30%"
"rare beauty",5,"-30%"
"beauty and the beat chord",5,"2.000%"
"beauty advisor",5,"6%"
"chord beauty and the beat",5,"1.650%"
"sleeping beauty",5,"-9%"
"beauty and the beat lyrics",5,"500%"
"lirik beauty and the beast justin bieber",5,"500%"
"dear me beauty",5,"-30%"
"beauty of joseon",4,"-40%"
"dior beauty",4,"-20%"
"the prisoner of beauty",4,"-30%"
"the beauty 2026",4,"-60%"
"lirik lagu beauty and a beat justin bieber",4,"1.100%"
"lirik lagu justin bieber beauty and a beat",4,"Breakout"
"beauty and the beast lyrics",4,"150%"
"beauty and a beat makna",4,"750%"
"beauty and a beat chord",4,"1.100%"
"that should be me",4,"350%"
"chord beauty and a beat",3,"Breakout"
