"query","search interest","increase percent"
"food beverage",100,"6%"
"food",98,"4%"
"food and beverage",73,"1%"
"beverage adalah",24,"60%"
"food beverage indonesia",13,"40%"
"food & beverage",11,"-30%"
"beverage service",11,"-20%"
"beverage artinya",10,"30%"
"food and beverage indonesia",9,"100%"
"food and beverage service",9,"-6%"
"food beverage adalah",7,"3%"
"food and beverage adalah",7,"30%"
"perusahaan food and beverage",7,"100%"
"apa itu beverage",6,"20%"
"product",5,"20%"
"beverages",4,"-30%"
"housekeeping",3,"50%"
"pt milko beverage industry",3,"Breakout"
"beverage meaning",3,"-40%"
"food and beverage industry",3,"-20%"
"arti beverage",3,"20%"
"food and beverage artinya",3,"80%"
"food and beverage contoh",3,"10%"
"fnb",3,"20%"
"food and beverage product",2,"90%"
"f&b",2,"70%"
"food and beverage expo",2,"20%"
"beverage starbucks",2,"-40%"
"arti food and beverage",2,"-10%"
"apa itu food and beverage",2,"40%"
"food & beverage service",2,"0%"
"perusahaan food and beverage yang terdaftar di bei",1,"Breakout"
"bei",1,"-50%"
"beverage fridge",1,"-9%"
"alcoholic beverage",1,"-80%"
"beverage jco",1,"Breakout"
"breakfast beverage",1,"-50%"
"pengertian food and beverage",0,"-60%"
"cattaleya food & beverage",0,"Breakout"
"food & beverage adalah",0,"-90%"
"rak beverage",0,"-70%"
"appetizer",0,"Breakout"
"nice pik 2",0,"Breakout"
"molson coors beverage company",0,"Breakout"
"suntory garuda beverage",0,"-90%"
"fnb adalah",0,"Breakout"
"beverage due jco",0,"Breakout"
"beverages adalah",0,"Breakout"
"food and beverage service adalah",0,"-90%"
"pt crown beverage cans indonesia",0,"Breakout"
