"query","search interest","increase percent"
"penggunaan gadget",100,"70%"
"dampak gadget",61,"100%"
"gadget adalah",51,"40%"
"kecanduan gadget",41,"100%"
"gadget store",34,"-30%"
"dampak penggunaan gadget",32,"120%"
"planet gadget",27,"-20%"
"gadget itu apa",19,"-7%"
"apa itu gadget",19,"-8%"
"doran gadget",19,"-30%"
"kamar gadget",17,"2%"
"gadget in",17,"-40%"
"rumah gadget",16,"-20%"
"dunia gadget",16,"140%"
"gambar gadget",11,"100%"
"gadget artinya",11,"50%"
"bahasa indonesia gadget",10,"60%"
"arti gadget",9,"80%"
"gadget mart",8,"-50%"
"dampak kecanduan gadget",8,"100%"
"pengertian gadget",8,"100%"
"gadget bahasa indonesia",7,"30%"
"berita gadget",7,"-2%"
"kampung lali gadget",6,"Breakout"
"apa arti gadget",4,"160%"
"dr gadget",4,"-30%"
"padang gadget",4,"-20%"
"bahasa indonesia dari gadget",4,"40%"
"erafone",4,"-3%"
"inspector gadget",4,"30%"
"lapak gadget",4,"-40%"
"planet gadget bali",4,"-1%"
"proteksi gadget shopee",4,"-30%"
"apollo gadget store",4,"90%"
"platinum gadget",4,"-30%"
"gadget kbbi",4,"6%"
"apollo gadget",3,"10%"
"planet gadget sidoarjo",3,"Breakout"
"rumah gadget bali",3,"-20%"
"kadek gadget",2,"-8%"
"distributor gadget indonesia",2,"-40%"
"gadgetin",2,"Breakout"
"pt distributor gadget indonesia",2,"Breakout"
"tulisan gadget",2,"-50%"
"zoom gadget",1,"-50%"
"ra gadget",1,"Breakout"
"urban gadget",1,"-70%"
"arena gadget",1,"Breakout"
"digimap",1,"-70%"
"doran gadget semarang",1,"-90%"
