"query","search interest","increase percent"
"film komedi",100,"20%"
"film",100,"20%"
"komedi indonesia",42,"5%"
"film indonesia",36,"8%"
"film komedi indonesia",36,"6%"
"film indonesia komedi",35,"4%"
"komedi horor",27,"20%"
"horor komedi",26,"20%"
"drama komedi",26,"80%"
"film horor",20,"30%"
"drakor",20,"60%"
"drakor komedi",20,"50%"
"film horor komedi",20,"20%"
"film komedi horor",19,"30%"
"komedi romantis",16,"20%"
"film komedi terbaru",12,"20%"
"netflix",11,"-20%"
"komedi lucu",11,"30%"
"horor komedi indonesia",10,"9%"
"rekomendasi film komedi",10,"20%"
"rekomendasi film",10,"10%"
"film korea",9,"50%"
"film indonesia horor komedi",9,"20%"
"film netflix komedi",9,"-20%"
"film komedi netflix",9,"-20%"
"komedi putar",9,"-30%"
"film korea komedi",8,"50%"
"film horor komedi indonesia",8,"20%"
"film horor indonesia",8,"20%"
"film komedi korea",8,"20%"
"nonton film komedi",8,"20%"
"nonton film",8,"30%"
"film komedi horor indonesia",8,"10%"
"drama korea komedi",8,"120%"
"komedi adalah",8,"70%"
"drama komedi korea",7,"70%"
"drama korea",7,"100%"
"drakor romantis komedi",7,"60%"
"film indonesia terbaru",7,"10%"
"drakor komedi romantis",7,"50%"
"film komedi indo",7,"30%"
"film komedi indonesia terbaru",7,"10%"
"film indonesia komedi terbaru",7,"8%"
"film indo komedi",6,"20%"
"film komedi thailand",5,"4%"
"film komedi 2025",5,"-10%"
"film komedi terbaik",5,"20%"
"film bioskop komedi",5,"-7%"
"film bioskop",5,"-8%"
"anime komedi",5,"10%"
