"query","search interest","increase percent"
"edukasi anak",100,"-2%"
"edukasi adalah",86,"9%"
"edukasi kesehatan",69,"2%"
"media edukasi",55,"6%"
"contoh edukasi",47,"9%"
"game edukasi",45,"-1%"
"video edukasi",39,"7%"
"jurnal edukasi",36,"-4%"
"wisata edukasi",30,"-8%"
"poster edukasi",26,"20%"
"konten edukasi",26,"-10%"
"edukasi itu apa",24,"-10%"
"apa itu edukasi",24,"-5%"
"fungsi edukasi",23,"30%"
"buku edukasi",20,"-6%"
"gambar edukasi",20,"10%"
"mainan edukasi",15,"-30%"
"arti edukasi",14,"-30%"
"game edukasi anak",13,"-20%"
"web edukasi",12,"-20%"
"edukasi hipertensi",12,"20%"
"edukasi artinya",11,"2%"
"permainan edukasi",11,"20%"
"website edukasi",10,"1%"
"film edukasi",10,"-20%"
"mainan edukasi anak",9,"-30%"
"pengertian edukasi",8,"-10%"
"kuota edukasi",6,"-20%"
"apa arti edukasi",6,"-20%"
"games edukasi",6,"70%"
"canva edukasi",6,"80%"
"game edukasi online",5,"-20%"
"buku edukasi anak",4,"-20%"
"edukasi artinya apa",4,"30%"
"portal edukasi",4,"8%"
"paket edukasi xl",3,"-50%"
"edukasi satu hati",3,"20%"
"game edukasi anak tk",3,"-1%"
"poster edukasi kesehatan",3,"-20%"
"game edukasi anak sd",3,"110%"
"ular tangga edukasi",3,"7%"
"mainan edukasi anak 2 tahun",2,"Breakout"
"wordwall",2,"130%"
"edukasi pajak go id",2,"100%"
"poster edukasi anak",2,"-10%"
"film edukasi anak",2,"-60%"
"game edukasi ifp",2,"Breakout"
"ia memulai edukasi sepak bolanya di akademi muda sebuah klub inggris utara",2,"-10%"
"pt binar edukasi bangsa",2,"Breakout"
"arti kata edukasi",2,"-40%"
