"query","search interest","increase percent"
"frozen food",100,"3%"
"shopee food",100,"30%"
"shopee",98,"20%"
"food near me",87,"-40%"
"best food near me",68,"-40%"
"chinese food",57,"-1%"
"food court",41,"-10%"
"driver shopee food",32,"30%"
"shopee food driver",32,"30%"
"street food",30,"-9%"
"cat food",28,"5%"
"go food",27,"8%"
"fast food",26,"5%"
"grab",26,"30%"
"grab food",25,"30%"
"food artinya",23,"30%"
"dog food",22,"-10%"
"junk food",20,"50%"
"korean food",19,"-7%"
"real food",19,"-20%"
"daftar shopee food",18,"40%"
"healthy food",18,"20%"
"japanese food",17,"-10%"
"food safety",17,"-20%"
"wet food",15,"0%"
"frozen food terdekat",15,"-20%"
"food waste",15,"20%"
"food and beverage",14,"30%"
"arti food",13,"30%"
"indonesian food",13,"20%"
"food station",13,"-10%"
"indian food",13,"-40%"
"thai food",11,"-10%"
"food chain",11,"-20%"
"food estate",10,"-5%"
"garuda food",10,"40%"
"fresh food",9,"8%"
"cara daftar shopee food",9,"50%"
"food junction",9,"-5%"
"food hall",9,"-20%"
"id food",8,"-8%"
"daftar shopee food driver",8,"30%"
"comfort food",8,"3%"
"daftar driver shopee food",8,"30%"
"western food",7,"-30%"
"wings food",7,"40%"
"food poisoning",6,"-30%"
"food processor",6,"-10%"
"kusuma food",6,"650%"
"italian food",6,"-20%"
