"query","search interest","increase percent"
"travel bandung",100,"30%"
"travel jakarta",72,"20%"
"travel umroh",52,"50%"
"time travel",46,"-9%"
"travel semarang",38,"7%"
"tour and travel",33,"40%"
"travel bali",32,"3%"
"travel baraya",31,"30%"
"baraya travel",31,"20%"
"tiket travel",31,"-8%"
"baraya",31,"20%"
"travel surabaya",30,"0%"
"mobil travel",30,"-5%"
"travel mobil",29,"-8%"
"travel ke bandung",27,"20%"
"travel jogja",27,"-1%"
"travel hotel",22,"-1%"
"hotel travel",22,"0%"
"travel fair",22,"80%"
"travel insurance",21,"-2%"
"travel bandung jakarta",20,"40%"
"travel jakarta bandung",20,"30%"
"travel terdekat",16,"20%"
"bhisa",15,"20%"
"travel bhisa",14,"20%"
"bhisa travel",14,"20%"
"travel bag",14,"3%"
"travel cirebon",12,"-10%"
"travel fair 2026",12,"40%"
"daytrans travel",11,"10%"
"daytrans",11,"1%"
"travel kencana",10,"-9%"
"kencana travel",10,"-6%"
"cititrans",9,"20%"
"lintas travel",9,"10%"
"travel sukabumi",8,"-20%"
"tas travel",8,"7%"
"baraya travel bandung",8,"40%"
"urban travel",8,"2%"
"travel arnes",8,"5%"
"arnes travel",8,"9%"
"arnes",8,"5%"
"btm travel",7,"-10%"
"samira travel",7,"100%"
"aragon travel",7,"-1%"
"bhinneka travel",7,"-7%"
"aragon",7,"-5%"
"traveloka",6,"-20%"
"travel bogor bandung",5,"7%"
"travel semarang jogja",5,"40%"
