"query","search interest","increase percent"
"film komedi",100,"8%"
"komedi film",100,"8%"
"film",99,"7%"
"komedi indonesia",46,"10%"
"film indonesia",37,"6%"
"film indonesia komedi",37,"5%"
"film komedi indonesia",36,"2%"
"horor komedi",24,"20%"
"komedi horor",24,"20%"
"drama komedi",18,"-10%"
"film horor",18,"10%"
"film horor komedi",17,"8%"
"film komedi horor",17,"8%"
"drakor komedi",15,"6%"
"drakor",14,"5%"
"netflix",14,"10%"
"komedi romantis",14,"-8%"
"film komedi netflix",11,"4%"
"film netflix komedi",11,"7%"
"film komedi terbaru",11,"1%"
"horor komedi indonesia",10,"20%"
"komedi lucu",10,"-10%"
"komedi putar",10,"-40%"
"rekomendasi film komedi",9,"2%"
"rekomendasi film",9,"0%"
"film horor komedi indonesia",9,"20%"
"film indonesia horor komedi",8,"2%"
"film komedi horor indonesia",8,"1%"
"film horor indonesia",8,"10%"
"film korea komedi",7,"10%"
"film komedi korea",7,"20%"
"film indonesia terbaru",6,"-10%"
"film komedi terbaru indonesia",6,"-10%"
"film bioskop komedi",6,"100%"
"film korea",6,"20%"
"cerita komedi",6,"-5%"
"film komedi bioskop",6,"80%"
"film komedi indonesia terbaru",6,"-20%"
"film komedi 2025",6,"20%"
"film indonesia komedi terbaru",5,"-30%"
"drama korea",5,"20%"
"drakor komedi romantis",5,"20%"
"drama korea komedi",5,"40%"
"drama komedi korea",5,"20%"
"drakor romantis komedi",5,"-6%"
"film komedi thailand",5,"-20%"
"film komedi terbaik",5,"20%"
"film komedi indo",5,"-30%"
"anime komedi",5,"20%"
"film komedi netflix indonesia",4,"10%"
