"query","search interest","increase percent"
"edukasi anak",100,"10%"
"edukasi adalah",85,"1%"
"edukasi kesehatan",65,"20%"
"media edukasi",57,"-3%"
"contoh edukasi",49,"7%"
"game edukasi",43,"-6%"
"jurnal edukasi",36,"7%"
"video edukasi",33,"-9%"
"wisata edukasi",31,"80%"
"konten edukasi",29,"20%"
"apa itu edukasi",26,"20%"
"edukasi itu apa",26,"20%"
"poster edukasi",23,"10%"
"arti edukasi",17,"30%"
"mainan edukasi",17,"20%"
"gambar edukasi",16,"-10%"
"web edukasi",14,"4%"
"game edukasi anak",13,"-20%"
"mainan edukasi anak",11,"80%"
"edukasi hipertensi",11,"10%"
"film edukasi",10,"-8%"
"edukasi artinya",9,"-20%"
"website edukasi",9,"-20%"
"pengertian edukasi",9,"-10%"
"permainan edukasi",8,"10%"
"kuota edukasi",8,"40%"
"edukasi pajak",6,"-30%"
"portal edukasi",5,"7%"
"edukasi anak 2 tahun",5,"-5%"
"game edukasi online",5,"20%"
"apa arti edukasi",5,"-10%"
"canva edukasi",5,"10%"
"sinta",4,"9%"
"kuota edukasi xl",4,"-20%"
"paket edukasi xl",4,"30%"
"games edukasi",4,"30%"
"contoh konten edukasi",4,"-4%"
"satu sehat",4,"-10%"
"arti edukasi adalah",3,"-20%"
"game edukasi anak sd",3,"-10%"
"edukasi artinya apa",3,"10%"
"poster edukasi kesehatan",3,"70%"
"wisata edukasi susu batu",3,"Breakout"
"mainan edukasi anak 2 tahun",2,"190%"
"edukasi satu hati",2,"70%"
"sinonim edukasi",2,"120%"
"ladang edukasi",2,"30%"
"praja edukasi",2,"40%"
"wordwall",2,"-20%"
"ia memulai edukasi sepak bolanya di akademi muda sebuah klub inggris utara",2,"100%"
