"query","search interest","increase percent"
"tempat hiburan",100,"-20%"
"hiburan malam",57,"-20%"
"kata kata hiburan",34,"-2%"
"taman hiburan",30,"-20%"
"pocketmonstersid.com paltform hiburan digital",30,"1.500%"
"tempat hiburan malam",27,"-10%"
"berita hiburan",22,"30%"
"pajak hiburan",15,"7%"
"hiburan bahasa inggris",9,"0%"
"bahasa inggris hiburan",9,"6%"
"seorang karyawan dimanapun dirinya bekerja, baik di instansi pemerintah maupun swasta, berhak menerima upah setiap bulan sesuai dengan tugas dan tanggung jawabnya dalam pekerjaan. pernyataan yang tepat untuk menjelaskan ilustrasi tersebut adalah ....",7,"110%"
"ki hajar dewantara dikenang sebagai seorang pahlawan di bidang pendidikan. sementara itu, pangeran diponegoro juga dikenang sebagai pahlawan yang gagah berani dalam melawan penjajahan dari belanda. peribahasa yang sesuai dengan uraian teks tersebut adalah ....",4,"Breakout"
"musang178xlme.cyou",3,"Breakout"
"tempat hiburan terdekat",3,"-10%"
"hiburan malam terdekat",2,"30%"
"neng4dxlme.cyou",2,"Breakout"
"mbok sarijem butuh hiburan",2,"-20%"
"pajak hiburan berapa persen",1,"Breakout"
"hiburan in english",1,"Breakout"
"tempat hiburan malam terdekat",1,"Breakout"
"taman hiburan pantai kenjeran",0,"Breakout"
