judul,caption,hashtag,kategori,platform,wilayah,tanggal
#marshajkt48 #marshalenathea #jkt48 #eaacreator,#marshajkt48 #marshalenathea #jkt48 #eaacreator,#marshajkt48 #marshalenathea #jkt48 #eaacreator,Hiburan Viral,TikTok,Indonesia,2026-01-25
gorgeous  #christyjkt48 #jkt48,gorgeous  #christyjkt48 #jkt48,#christyjkt48 #jkt48,Hiburan Viral,TikTok,Indonesia,2026-01-25
Joget duluu👀 #trend #fyp #lucu #semarang,Joget duluu👀 #trend #fyp #lucu #semarang,#trend #fyp #lucu #semarang,Hiburan Viral,TikTok,Indonesia,2026-01-25
괜찮아💖 #BigGirlsDontCry🤠 #THE_SIN_VANISH #ENHYPEN,괜찮아💖 #BigGirlsDontCry🤠 #THE_SIN_VANISH #ENHYPEN,#biggirlsdontcry🤠 #the_sin_vanish #enhypen,Hiburan Viral,TikTok,Indonesia,2026-01-25
simpen dulu buat nanti😌✨🕌,simpen dulu buat nanti😌✨🕌,,Hiburan Viral,TikTok,Indonesia,2026-01-25
Ada kejutan apa ya ditanggal 17 Januari 2026 besok? Stay tun,Ada kejutan apa ya ditanggal 17 Januari 2026 besok? Stay tune di IG Milkita!🥳🌈🥛 #milkitamilkybar #gempi #kejutanwarnawarni #warnawarnicrunchynyayummysusunya #milkitaindonesia  @Milkita Indonesia,#milkitamilkybar #gempi #kejutanwarnawarni #warnawarnicrunchynyayummysusunya #milkitaindonesia #,Hiburan Viral,TikTok,Indonesia,2026-01-25
buuulan madu di awan biruu😫🫠 #christyjkt48🐟 #christyjkt48 #a,buuulan madu di awan biruu😫🫠 #christyjkt48🐟 #christyjkt48 #angelinachristy #jkt48newera #JKT48 @christy🐟  ib : @christyedit_,#christyjkt48🐟 #christyjkt48 #angelinachristy #jkt48newera #jkt48 # #,Hiburan Viral,TikTok,Indonesia,2026-01-25
@Brigida #m7championship #caster #brigida,@Brigida #m7championship #caster #brigida,# #m7championship #caster #brigida,Hiburan Viral,TikTok,Indonesia,2026-01-25
kok bisa yaa?🤔 #christyjkt48🐟 #christyjkt48 #angelinachristy,kok bisa yaa?🤔 #christyjkt48🐟 #christyjkt48 #angelinachristy #jkt48newera #JKT48 @christy🐟,#christyjkt48🐟 #christyjkt48 #angelinachristy #jkt48newera #jkt48 #,Hiburan Viral,TikTok,Indonesia,2026-01-25
Cattos ฅ^>⩊<^ ฅ #TamanSafaLy,Cattos ฅ^>⩊<^ ฅ #TamanSafaLy,#tamansafaly,Hiburan Viral,TikTok,Indonesia,2026-01-25
sb #delynnjkt48 #adelinewijaya,sb #delynnjkt48 #adelinewijaya,#delynnjkt48 #adelinewijaya,Hiburan Viral,TikTok,Indonesia,2026-01-25
py new year,py new year,,Hiburan Viral,TikTok,Indonesia,2026-01-25
cintaku😋 #christyjkt48 #jkt48 #jkt48newera #fyp,cintaku😋 #christyjkt48 #jkt48 #jkt48newera #fyp,#christyjkt48 #jkt48 #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
nonton singles inferno 5 ga?,nonton singles inferno 5 ga?,,Hiburan Viral,TikTok,Indonesia,2026-01-25
wow🤭 #trishajkt48 #jazzlyntrisha  #fyp #fypシviral,wow🤭 #trishajkt48 #jazzlyntrisha  #fyp #fypシviral,#trishajkt48 #jazzlyntrisha #fyp #fypシviral,Hiburan Viral,TikTok,Indonesia,2026-01-25
oshibe jkt48 #oshibe #jkt48 #fyp,oshibe jkt48 #oshibe #jkt48 #fyp,#oshibe #jkt48 #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
"bisa ae toyy, aku juga titip salam ya sama ka indah🤭 #ondahj","bisa ae toyy, aku juga titip salam ya sama ka indah🤭 #ondahjkt48 #christyjkt48 #khatrinajkt48 #jkt48newera #fypage",#ondahjkt48 #christyjkt48 #khatrinajkt48 #jkt48newera #fypage,Hiburan Viral,TikTok,Indonesia,2026-01-25
uculll lagi iniiii,uculll lagi iniiii,,Hiburan Viral,TikTok,Indonesia,2026-01-25
kasih tau yang lebih mentok dari tapi bukan aku,kasih tau yang lebih mentok dari tapi bukan aku,,Hiburan Viral,TikTok,Indonesia,2026-01-25
"syg ank syg ank🤏🏻,btw yg sbr y papa Freya😭🤣 . . #freyaajkt48","syg ank syg ank🤏🏻,btw yg sbr y papa Freya😭🤣 . . #freyaajkt48 #fionyjkt48 #memberjkt48 #4u #fyp",#freyaajkt48 #fionyjkt48 #memberjkt48 #4u #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
Kebun Binatang saat Hujan - JKT48 #JKT48TheFirstSnow #jkt48n,Kebun Binatang saat Hujan - JKT48 #JKT48TheFirstSnow #jkt48newera #fyp,#jkt48thefirstsnow #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
BANTUIN BAJU GUYS 😭 1/2/3/4 ?!!  #joybox #joyboxslime,BANTUIN BAJU GUYS 😭 1/2/3/4 ?!!  #joybox #joyboxslime,#joybox #joyboxslime,Hiburan Viral,TikTok,Indonesia,2026-01-25
ooohh #fyp #foryoupage,ooohh #fyp #foryoupage,#fyp #foryoupage,Hiburan Viral,TikTok,Indonesia,2026-01-25
AKHIRNYA💗 #affliatemarketing #affiliate #sampelgratis #fypag,AKHIRNYA💗 #affliatemarketing #affiliate #sampelgratis #fypage,#affliatemarketing #affiliate #sampelgratis #fypage,Hiburan Viral,TikTok,Indonesia,2026-01-25
